fecha,hora,delitos_code,Latitude,Longitude
2/2/2013 0:00,1:00:00,Escalamiento,18.46045,-66.85366
3/1/2013 0:00,8:00:00,Apropiacion Ilegal,18.487974,-66.874845
10/30/2013 0:00,12:30:00,Vehiculo Hurtado,18.473478,-66.759747
4/1/2013 0:00,5:20:00,Robo,18.489555,-66.823875
5/9/2013 0:00,22:00:00,Apropiacion Ilegal,18.482352,-66.768155
2/6/2013 0:00,15:00:00,Apropiacion Ilegal,18.481524,-66.770256
6/3/2013 0:00,21:50:00,Apropiacion Ilegal,18.42545,-66.657815
1/23/2013 0:00,12:52:00,Apropiacion Ilegal,18.47882,-66.770074
1/31/2013 0:00,4:00:00,Apropiacion Ilegal,18.435158,-66.453373
7/1/2013 0:00,5:00:00,Escalamiento,18.43019,-66.493162
11/13/2013 0:00,14:00:00,Agresion Agravada,18.339891,-66.381162
7/3/2013 0:00,15:00:00,Escalamiento,18.469584,-66.814488
4/3/2013 0:00,23:24:00,Apropiacion Ilegal,18.476308,-66.756111
12/12/2013 0:00,11:00:00,Escalamiento,18.432292,-66.764925
10/27/2013 0:00,20:00:00,Apropiacion Ilegal,18.456099,-66.54276
1/30/2013 0:00,19:10:00,Asesinato,18.446175,-66.581062
12/27/2013 0:00,5:00:00,Escalamiento,18.450805,-66.541778
6/8/2013 0:00,23:00:00,Apropiacion Ilegal,18.323337,-66.475476
4/17/2013 0:00,11:30:00,Agresion Agravada,18.449571,-66.541022
7/6/2013 0:00,13:00:00,Agresion Agravada,18.430022,-66.487886
1/16/2013 0:00,13:00:00,Escalamiento,18.487615,-66.824591
12/14/2013 0:00,23:00:00,Apropiacion Ilegal,18.289563,-66.508715
12/19/2013 0:00,11:00:00,Apropiacion Ilegal,18.43751,-66.54072
12/28/2013 0:00,20:45:00,Escalamiento,18.483591,-66.584769
12/16/2013 0:00,13:00:00,Apropiacion Ilegal,18.438084,-66.54082
7/30/2013 0:00,7:00:00,Apropiacion Ilegal,18.486039,-66.811247
2/2/2013 0:00,22:00:00,Apropiacion Ilegal,18.479087,-66.938454
7/29/2013 0:00,14:00:00,Apropiacion Ilegal,18.464276,-66.927575
12/26/2013 0:00,21:00:00,Vehiculo Hurtado,18.450799,-66.549888
1/27/2013 0:00,0:00:00,Agresion Agravada,18.473906,-66.9384
9/3/2013 0:00,10:35:00,Vehiculo Hurtado,18.474007,-66.759935
3/9/2013 0:00,5:00:00,Apropiacion Ilegal,18.424141,-66.476361
3/17/2013 0:00,16:45:00,Robo,18.481724,-66.697276
7/21/2013 0:00,13:00:00,Escalamiento,18.360943,-66.424377
8/13/2013 0:00,13:00:00,Robo,18.42619,-66.4626
2/2/2013 0:00,12:00:00,Apropiacion Ilegal,18.480513,-66.769439
6/17/2013 0:00,18:20:00,Escalamiento,18.480553,-66.535264
